serialNum,search_url,url,name_eng,name,genres,length,year,imdb_score,downloads,producer,actors
6012,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6012,The Wash,הרצחה,קומדיה,93,2001,3.5,440,די.ג'יי פו,"ד""ר דרה;סנופ דוג;ג'ורג' וואלאס;די.ג'יי פו;טומי ליסטר ג'וניור;אווה לאשון;טומי צ'ונג;אקזיביט;לודקריס;אמינם;ג'ניפר דאן;פולי שור"
6013,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6013,Mission: Impossible III,משימה בלתי אפשרית 3,פעולה;מתח,119,2006,6.9,"1,249",ג'יי. ג'יי. אברמס,טום קרוז;פיליפ סימור הופמן;וינג ריימס;לורנס פישבורן;קרי ראסל;מגי קיו;ג'ונתן ריס מאיירס;סיימון פג;בילי קרודופ;מישל מונהאן
6038,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6038,Phat Girlz,"בנות ""גדולות""",קומדיה,99,2006,2.2,876,נגסט ליקה,מו'ניק;ג'ימי ז'אן-לואיס;גודפרי;קנדרה סי ג'ונסון;אריק רוברטס;ג'ויפול דרייק;ג'ק נוסוורתי
6024,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6024,The Ant Bully,גיבור על נמלים,אנימציה;הרפתקאות;משפחה;קומדיה;פנטזיה,88,2006,6.2,"1,128",ג'והן א. דייוויס,ניקולס קייג';ג'וליה רוברטס;מריל סטריפ;פול ג'יאמטי;זאק טיילר
6033,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6033,My Super Ex-Girlfriend,הסופר-אקסית שלי,קומדיה;פנטזיה;רומנטיקה,95,2006,5.4,"2,062",איוון רייטמן,לוק ווילסון;אומה תורמן;אנה פאריס;ריין וילסון;אדי איזארד;סטליו סבנטה;ונדה סייקס;מייק יוריו;מארק קונסלוס
6043,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6043,FINAL YAMATO,חלוצי החלל-מסעה האחרון של יאמטו,אנימציה,163,1983,6.3,146,טומהרה קאצ'מאטה,קיי טומיאנה;יוקו אסאגמי;סאשי טאקמארה
6044,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6044,Interstate 60,אינטרסטייט 60,הרפתקאות;קומדיה;פנטזיה,116,2002,7.7,614,בוב גייל,ג'יימס מרסדן;גארי אולדמן;איימי סמארט;כריסטופר לויד;כריס קופר;מייקל ג'יי פוקס;קורט ראסל;אן מרגרט
6046,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6046,From Dusk Till Dawn,משקיעה ועד זריחה,קומדיה;מתח;פעולה;אימה,108,1996,7.1,953,רוברט רודריגז,ג'ורג' קלוני;הארווי קייטל;קוונטין טרנטינו;ג'ולייט לואיס;דני טרחו;ארנסט ליו;ציץ' מרין;קלי פרסטון;טום סוויני
6047,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6047,Sima Vaknin The Witch,סימה וקנין מכשפה,ישראלי;קומדיה,,2003,,236,דרור שאול,תיקי דיין;ליאור אשכנזי;רותם אבוהב;איציק כהן;שרון אלימלך;סשה דמידוב;ניסים זהר
6049,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6049,Ju-on: The Grudge,הטינה (גרסה יפנית),אימה;מתח;זר,92,2003,6.6,390,טקאשי שימיזו,מגומי אוקינה;מיסאקי איטו;מיסה יוהארה;קנג'י טסודה
6053,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6053,Edmond,אדמונד,מתח;דרמה;קומדיה שחורה,82,2006,6.3,976,סטיוארט גורדון,וויליאם ה. מייסי;ג'וליה סטיילס;ג'ו מנטנייה;לינג באי;דניס ריצ'ארדס;מינה סובארי;רבקה פידג'ן;בוקים וודביין;ג'פרי קומבס
5971,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=5971,Miami Vice,מיאמי וייס,פעולה;מתח;פשע,134,2006,6,"2,435",מייקל מאן,קולין פארל;ג'יימי פוקס;גונג לי;נעמי האריס;ג'סטין ת'רו;סיראן הינדס;לואיס טוסאר;ג'ון אורטיז
6050,http://www.torec.net/movies_subs.asp?p=579,http://www.torec.net/sub.asp?sub_id=6050,Ju-on: The Grudge 2,הטינה 2 (גרסה יפנית),אימה;מתח;זר,95,2003,6.3,722,טקאשי שימיזו,נוריקו סאקאי;צ'יהארו ניאמה;קאי הורי;טאקאטו פוג'י
5997,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=5997,Play,פליי,דרמה,100,2005,6.8,126,אליסיה שרסון,ויוויאנה אררה;אנדרס אויואה;קוקה גואציני;אלין קופנהיים
5983,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=5983,Torque,מהיר ללא גבולות,פעולה;פשע;מתח,84,2004,3.5,561,ג'וזף קאהן,מרטין הנדרסון;אייס קיוב;מונט מזור;מאט שולץ
6000,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6000,This Is Spinal Tap,ספיינל טאפ,קומדיה;מוזיקלי;מוזיקת רוק,82,1984,7.9,820,רוב ריינר,רוב ריינר;כריסטופר גסט;הארי שירר;מייקל מקין;ברונו קירבי;אד בגלי ג'וניור;פראן דרשר;דיינה קארווי;בילי קריסטל;האוורד הסמן;אנג'ליקה יוסטון
